T,v,vw,a,o,c,h,l,t,n,m,x,g,op,z,av,s,e,otc
,1.159281E+06,126.9584,0,126.94,126.8,127.1799,126.72,1672932000000,8828,,0,,0,0,0,0,0,false
,914751,126.8493,0,126.8,126.76,127.02,126.67,1672932300000,7114,,0,,0,0,0,0,0,false
,1.314366E+06,126.5599,0,126.77,126.4901,126.85,126.39,1672932600000,8438,,0,,0,0,0,0,0,false
,1.018733E+06,126.3793,0,126.495,126.4452,126.61,126.16,1672932900000,9669,,0,,0,0,0,0,0,false
,945593,126.6311,0,126.43,126.88,126.9499,126.32,1672933200000,7927,,0,,0,0,0,0,0,false
,863938,126.8222,0,126.88,126.545,127.03,126.51,1672933500000,7372,,0,,0,0,0,0,0,false
,809546,126.4946,0,126.55,126.425,126.6799,126.3,1672933800000,7108,,0,,0,0,0,0,0,false
,729046,126.3999,0,126.43,126.42,126.51,126.28,1672934100000,6425,,0,,0,0,0,0,0,false
,695333,126.3656,0,126.42,126.5482,126.557,126.15,1672934400000,6558,,0,,0,0,0,0,0,false
,740093,126.6233,0,126.5301,126.53,126.75,126.5,1672934700000,5879,,0,,0,0,0,0,0,false
,878400,126.7408,0,126.54,126.795,127,126.53,1672935000000,7271,,0,,0,0,0,0,0,false
,568402,126.7625,0,126.8,126.6081,126.9399,126.5882,1672935300000,5303,,0,,0,0,0,0,0,false
,713413,126.461,0,126.6008,126.36,126.69,126.32,1672935600000,6102,,0,,0,0,0,0,0,false
,627753,126.4803,0,126.3682,126.5599,126.56,126.32,1672935900000,5488,,0,,0,0,0,0,0,false
,647477,126.5227,0,126.55,126.6,126.645,126.43,1672936200000,5249,,0,,0,0,0,0,0,false
,1.164769E+06,126.6119,0,126.61,126.6402,126.8101,126.43,1672936500000,7486,,0,,0,0,0,0,0,false
,746763,126.7043,0,126.63,126.915,126.95,126.435,1672936800000,5899,,0,,0,0,0,0,0,false
,758410,126.9805,0,126.915,126.99,127.08,126.89,1672937100000,6510,,0,,0,0,0,0,0,false
,652048,126.8906,0,126.9985,126.755,127.06,126.71,1672937400000,5083,,0,,0,0,0,0,0,false
,442052,126.7417,0,126.76,126.68,126.92,126.62,1672937700000,4588,,0,,0,0,0,0,0,false
,519369,126.7127,0,126.68,126.7,126.839,126.5901,1672938000000,5461,,0,,0,0,0,0,0,false
,581529,126.7449,0,126.7,126.6432,126.955,126.61,1672938300000,5399,,0,,0,0,0,0,0,false
,446868,126.5781,0,126.6401,126.56,126.6694,126.5,1672938600000,4673,,0,,0,0,0,0,0,false
,565210,126.4472,0,126.5599,126.2579,126.6,126.22,1672938900000,5417,,0,,0,0,0,0,0,false
,547568,126.3957,0,126.25,126.5652,126.6299,126.2,1672939200000,4462,,0,,0,0,0,0,0,false
,332166,126.5474,0,126.57,126.5032,126.62,126.4733,1672939500000,3409,,0,,0,0,0,0,0,false
,515489,126.6308,0,126.5,126.7,126.8,126.49,1672939800000,4723,,0,,0,0,0,0,0,false
,403180,126.5287,0,126.705,126.44,126.77,126.38,1672940100000,3971,,0,,0,0,0,0,0,false
,307884,126.3885,0,126.44,126.35,126.4825,126.3,1672940400000,3490,,0,,0,0,0,0,0,false
,353189,126.3371,0,126.35,126.34,126.41,126.265,1672940700000,3649,,0,,0,0,0,0,0,false
,400922,126.2945,0,126.32,126.2031,126.475,126.18,1672941000000,4186,,0,,0,0,0,0,0,false
,309950,126.2308,0,126.2,126.2474,126.3,126.18,1672941300000,3561,,0,,0,0,0,0,0,false
,347043,126.1997,0,126.245,126.1899,126.2686,126.1101,1672941600000,3760,,0,,0,0,0,0,0,false
,733005,126.1104,0,126.188,126.088,126.23,125.97,1672941900000,7390,,0,,0,0,0,0,0,false
,433299,125.9861,0,126.085,125.8179,126.14,125.81,1672942200000,4685,,0,,0,0,0,0,0,false
,410812,125.848,0,125.81,125.8699,125.9,125.8001,1672942500000,4136,,0,,0,0,0,0,0,false
,1.500352E+06,126.4165,0,125.865,126.66,126.79,125.855,1672942800000,11894,,0,,0,0,0,0,0,false
,930350,126.6515,0,126.67,126.48,126.87,126.46,1672943100000,8321,,0,,0,0,0,0,0,false
,759580,126.7824,0,126.49,126.925,126.98,126.49,1672943400000,6406,,0,,0,0,0,0,0,false
,761295,126.8452,0,126.925,126.7363,127.04,126.61,1672943700000,5436,,0,,0,0,0,0,0,false
,573469,126.6415,0,126.74,126.5215,126.84,126.45,1672944000000,4439,,0,,0,0,0,0,0,false
,521814,126.4356,0,126.53,126.394,126.56,126.34,1672944300000,4695,,0,,0,0,0,0,0,false
,349374,126.3864,0,126.39,126.3701,126.445,126.28,1672944600000,3767,,0,,0,0,0,0,0,false
,467728,126.3084,0,126.3758,126.27,126.45,126.18,1672944900000,4583,,0,,0,0,0,0,0,false
,503505,126.3622,0,126.28,126.32,126.47,126.19,1672945200000,4465,,0,,0,0,0,0,0,false
,398534,126.3185,0,126.33,126.39,126.43,126.24,1672945500000,3403,,0,,0,0,0,0,0,false
,593472,126.2584,0,126.4,126.05,126.44,126.02,1672945800000,5385,,0,,0,0,0,0,0,false
,332310,126.1482,0,126.06,126.19,126.22,126.04,1672946100000,4040,,0,,0,0,0,0,0,false
,491255,126.0513,0,126.19,125.9901,126.21,125.92,1672946400000,5197,,0,,0,0,0,0,0,false
,491560,125.9297,0,125.99,125.8887,126.06,125.81,1672946700000,4822,,0,,0,0,0,0,0,false
,410452,125.9656,0,125.89,125.9366,126.025,125.88,1672947000000,4389,,0,,0,0,0,0,0,false
,878852,126.1398,0,125.93,126.115,126.38,125.925,1672947300000,8000,,0,,0,0,0,0,0,false
,572236,126.0584,0,126.12,125.93,126.1907,125.91,1672947600000,5765,,0,,0,0,0,0,0,false
,804305,125.9551,0,125.92,125.925,126.14,125.83,1672947900000,7594,,0,,0,0,0,0,0,false
,856982,125.8085,0,125.93,125.845,125.945,125.67,1672948200000,8265,,0,,0,0,0,0,0,false
,1.070835E+06,125.6124,0,125.8403,125.48,125.85,125.475,1672948500000,10257,,0,,0,0,0,0,0,false
,1.283584E+06,125.5928,0,125.485,125.4672,125.53,125.34,1672948800000,7459,,0,,0,0,0,0,0,false
,734789,125.3768,0,125.465,125.25,125.505,125.25,1672949100000,7011,,0,,0,0,0,0,0,false
,1.146016E+06,125.1465,0,125.255,125.165,125.27,125.03,1672949400000,10398,,0,,0,0,0,0,0,false
,843974,125.234,0,125.1633,125.1491,125.36,125.06,1672949700000,7484,,0,,0,0,0,0,0,false
,783257,125.1518,0,125.145,125.1,125.28,125.03,1672950000000,7064,,0,,0,0,0,0,0,false
,689819,125.131,0,125.1,125.16,125.2401,125.03,1672950300000,6919,,0,,0,0,0,0,0,false
,883789,125.0697,0,125.17,125.1114,125.19,125.01,1672950600000,8336,,0,,0,0,0,0,0,false
,1.188647E+06,125.2218,0,125.1103,125.195,125.3,125.09,1672950900000,7493,,0,,0,0,0,0,0,false
,1.098776E+06,125.1033,0,125.19,125.075,125.25,125,1672951200000,11434,,0,,0,0,0,0,0,false
,1.335736E+06,125.0986,0,125.08,125.035,125.27,125,1672951500000,11685,,0,,0,0,0,0,0,false
,2.301609E+06,124.8591,0,125.04,124.775,125.04,124.76,1672951800000,22058,,0,,0,0,0,0,0,false
,2.656856E+06,125.0207,0,124.78,125.03,125.17,124.77,1672952100000,22462,,0,,0,0,0,0,0,false
,995959,125.0257,0,125.02,125.12,125.17,125.02,1672952400000,772,,0,,0,0,0,0,0,false
,265104,125.0215,0,125.09,125.03,125.09,124.99,1672952700000,505,,0,,0,0,0,0,0,false
,49592,125.0323,0,125.08,125.02,125.11,125.02,1672953000000,348,,0,,0,0,0,0,0,false
,23147,125.1134,0,125.09,125.14,125.15,125.09,1672953300000,333,,0,,0,0,0,0,0,false
,59710,125.2157,0,125.14,125.2,125.3,125.03,1672953600000,445,,0,,0,0,0,0,0,false
,25870,125.0724,0,125.17,125.19,125.21,125.02,1672953900000,217,,0,,0,0,0,0,0,false
,31747,125.256,0,125.19,125.22,125.34,125.13,1672954200000,333,,0,,0,0,0,0,0,false
,8562,125.1489,0,125.22,125.12,125.22,125.11,1672954500000,240,,0,,0,0,0,0,0,false
,9428,125.1683,0,125.14,125.17,125.23,125.12,1672954800000,204,,0,,0,0,0,0,0,false
,20747,125.0915,0,125.17,125.11,125.19,125.02,1672955100000,244,,0,,0,0,0,0,0,false
,29572,125.0465,0,125.15,125.02,125.18,125.02,1672955400000,208,,0,,0,0,0,0,0,false
,699243,125.0214,0,125.09,125.16,125.16,125.08,1672955700000,246,,0,,0,0,0,0,0,false
,6018,125.1355,0,125.15,125.1487,125.15,125.1,1672956000000,131,,0,,0,0,0,0,0,false
,15307,125.1027,0,125.12,125.11,125.15,125.07,1672956300000,183,,0,,0,0,0,0,0,false
,9409,125.1207,0,125.0701,125.1,125.15,125.0701,1672956600000,129,,0,,0,0,0,0,0,false
,3578,125.104,0,125.15,125.1,125.15,125.08,1672956900000,143,,0,,0,0,0,0,0,false
,6350,125.0879,0,125.07,125.09,125.12,125.05,1672957200000,151,,0,,0,0,0,0,0,false
,5292,125.1147,0,125.09,125.13,125.15,125.09,1672957500000,137,,0,,0,0,0,0,0,false
,2156,125.1462,0,125.13,125.15,125.15,125.13,1672957800000,50,,0,,0,0,0,0,0,false
,5017,125.1036,0,125.13,125.08,125.13,125.08,1672958100000,100,,0,,0,0,0,0,0,false
,3529,125.0945,0,125.12,125.08,125.12,125.06,1672958400000,93,,0,,0,0,0,0,0,false
,8492,125.0944,0,125.1,125.1,125.12,125.07,1672958700000,97,,0,,0,0,0,0,0,false
,5904,125.1186,0,125.11,125.14,125.14,125.1,1672959000000,59,,0,,0,0,0,0,0,false
,4045,125.1134,0,125.1001,125.1,125.14,125.09,1672959300000,93,,0,,0,0,0,0,0,false
,5208,125.1657,0,125.13,125.11,125.23,125.11,1672959600000,116,,0,,0,0,0,0,0,false
,2112,125.1224,0,125.14,125.12,125.15,125.1,1672959900000,71,,0,,0,0,0,0,0,false
,601,125.1168,0,125.1,125.14,125.14,125.1,1672960200000,48,,0,,0,0,0,0,0,false
,2537,125.1437,0,125.16,125.11,125.16,125.11,1672960800000,81,,0,,0,0,0,0,0,false
,3577,125.1285,0,125.12,125.13,125.14,125.12,1672961100000,55,,0,,0,0,0,0,0,false
,1982,125.1439,0,125.14,125.16,125.17,125.12,1672961400000,79,,0,,0,0,0,0,0,false
,1393,125.1281,0,125.13,125.12,125.16,125.12,1672961700000,94,,0,,0,0,0,0,0,false
,57184,124.989,0,125.11,125.18,125.18,124.8,1672962000000,819,,0,,0,0,0,0,0,false
,5463,125.1425,0,125.16,125.1201,125.18,125.11,1672962300000,93,,0,,0,0,0,0,0,false
,1754,125.1311,0,125.12,125.14,125.14,125.12,1672962600000,53,,0,,0,0,0,0,0,false
,7083,125.154,0,125.14,125.17,125.18,125.12,1672962900000,118,,0,,0,0,0,0,0,false
,1430,125.1645,0,125.17,125.17,125.17,125.16,1672963200000,39,,0,,0,0,0,0,0,false
,4869,125.176,0,125.17,125.17,125.2,125.16,1672963500000,56,,0,,0,0,0,0,0,false
,1808,125.1797,0,125.21,125.15,125.23,125.13,1672963800000,46,,0,,0,0,0,0,0,false
,2268,125.137,0,125.16,125.13,125.16,125.12,1672964100000,27,,0,,0,0,0,0,0,false
,3939,125.1497,0,125.15,125.17,125.17,125.13,1672964400000,72,,0,,0,0,0,0,0,false
,3429,125.1498,0,125.13,125.14,125.17,125.12,1672964700000,94,,0,,0,0,0,0,0,false
,4438,125.2005,0,125.18,125.25,125.25,125.17,1672965000000,128,,0,,0,0,0,0,0,false
,1431,125.2254,0,125.24,125.2,125.24,125.2,1672965300000,42,,0,,0,0,0,0,0,false
,2435,125.1883,0,125.21,125.16,125.21,125.16,1672965600000,65,,0,,0,0,0,0,0,false
,4549,125.1872,0,125.2,125.19,125.2,125.16,1672965900000,71,,0,,0,0,0,0,0,false
,5873,125.1937,0,125.2,125.21,125.21,125.15,1672966200000,123,,0,,0,0,0,0,0,false
,10068,125.214,0,125.2,125.25,125.25,125.18,1672966500000,176,,0,,0,0,0,0,0,false
,19228,125.249,0,125.52,125.1,125.52,125.1,1672995600000,323,,0,,0,0,0,0,0,false
,6266,125.0893,0,125.13,125.14,125.15,125,1672995900000,280,,0,,0,0,0,0,0,false
,2824,124.8962,0,124.94,124.91,124.94,124.91,1672996200000,79,,0,,0,0,0,0,0,false
,3541,124.9091,0,124.9,124.98,124.98,124.9,1672996500000,78,,0,,0,0,0,0,0,false
,8524,124.8289,0,124.95,124.66,124.95,124.64,1672996800000,264,,0,,0,0,0,0,0,false
,1809,124.8061,0,124.83,124.8,124.83,124.8,1672997100000,60,,0,,0,0,0,0,0,false
,1480,124.7549,0,124.73,124.73,124.73,124.73,1672997400000,70,,0,,0,0,0,0,0,false
,1590,124.7784,0,124.76,124.78,124.78,124.76,1672997700000,26,,0,,0,0,0,0,0,false
,1965,124.7928,0,124.73,124.87,124.87,124.73,1672998000000,62,,0,,0,0,0,0,0,false
,3375,124.8484,0,124.84,124.86,124.86,124.84,1672998300000,53,,0,,0,0,0,0,0,false
,5992,124.8879,0,124.85,124.92,124.92,124.84,1672998600000,51,,0,,0,0,0,0,0,false
,1146,124.9493,0,124.92,124.96,124.96,124.92,1672998900000,36,,0,,0,0,0,0,0,false
,2490,124.9489,0,124.96,124.92,124.96,124.92,1672999200000,33,,0,,0,0,0,0,0,false
,6100,124.9914,0,124.94,125.01,125.02,124.94,1672999800000,86,,0,,0,0,0,0,0,false
,812,125.0308,0,125.03,125.03,125.03,125.03,1673000100000,25,,0,,0,0,0,0,0,false
,787,125.0365,0,125.01,125.06,125.06,125.01,1673000400000,19,,0,,0,0,0,0,0,false
,2148,125.1055,0,125.08,125.12,125.13,125.08,1673000700000,38,,0,,0,0,0,0,0,false
,2533,125.101,0,125.13,125.08,125.14,125.08,1673001000000,38,,0,,0,0,0,0,0,false
,700,125.1293,0,125.11,125.16,125.16,125.11,1673001300000,23,,0,,0,0,0,0,0,false
,470,125.1903,0,125.17,125.2,125.2,125.17,1673001600000,26,,0,,0,0,0,0,0,false
,1251,125.1459,0,125.22,125.09,125.22,125.09,1673001900000,59,,0,,0,0,0,0,0,false
,10812,125.0624,0,125.15,125,125.15,125,1673002200000,154,,0,,0,0,0,0,0,false
,1646,124.9741,0,125.01,124.86,125.01,124.86,1673002500000,131,,0,,0,0,0,0,0,false
,2512,124.9844,0,124.85,125.1,125.1,124.85,1673002800000,57,,0,,0,0,0,0,0,false
,447,124.8649,0,124.84,124.84,124.84,124.84,1673003100000,16,,0,,0,0,0,0,0,false
,2198,125.1032,0,125.05,125.14,125.14,125.05,1673003700000,42,,0,,0,0,0,0,0,false
,210,125.1781,0,125.16,125.16,125.16,125.16,1673004300000,7,,0,,0,0,0,0,0,false
,2363,125.0373,0,125.1,125,125.1,125,1673004600000,59,,0,,0,0,0,0,0,false
,295,124.9414,0,124.95,124.95,124.95,124.95,1673004900000,12,,0,,0,0,0,0,0,false
,3221,124.8714,0,124.95,124.94,124.95,124.8,1673005200000,148,,0,,0,0,0,0,0,false
,3220,124.8985,0,124.9,124.9,124.9,124.9,1673005800000,24,,0,,0,0,0,0,0,false
,674,124.8983,0,124.9,124.91,124.91,124.9,1673006100000,30,,0,,0,0,0,0,0,false
,16623,124.8914,0,124.91,124.87,124.96,124.86,1673006400000,326,,0,,0,0,0,0,0,false
,5909,124.8431,0,124.88,124.85,124.88,124.83,1673006700000,140,,0,,0,0,0,0,0,false
,5136,124.8127,0,124.82,124.77,124.85,124.77,1673007000000,166,,0,,0,0,0,0,0,false
,5436,124.8299,0,124.8,124.85,124.85,124.8,1673007300000,127,,0,,0,0,0,0,0,false
,4836,124.8839,0,124.86,124.9,124.9,124.86,1673007600000,99,,0,,0,0,0,0,0,false
,8268,124.954,0,124.92,124.95,124.98,124.92,1673007900000,148,,0,,0,0,0,0,0,false
,9488,124.9678,0,124.94,125,125,124.93,1673008200000,122,,0,,0,0,0,0,0,false
,5932,124.9824,0,125,124.9,125.02,124.9,1673008500000,132,,0,,0,0,0,0,0,false
,5114,124.9,0,124.95,124.85,124.96,124.85,1673008800000,137,,0,,0,0,0,0,0,false
,11356,124.8872,0,124.84,124.93,124.93,124.84,1673009100000,122,,0,,0,0,0,0,0,false
,26690,124.964,0,124.91,125.08,125.08,124.9,1673009400000,231,,0,,0,0,0,0,0,false
,12867,124.9597,0,125.02,124.9,125.02,124.9,1673009700000,204,,0,,0,0,0,0,0,false
,95964,124.8986,0,124.86,124.73,125.79,124.73,1673010000000,2175,,0,,0,0,0,0,0,false
,29563,124.7436,0,124.75,124.71,124.85,124.68,1673010300000,474,,0,,0,0,0,0,0,false
,39455,124.7887,0,124.76,124.79,124.9,124.7,1673010600000,534,,0,,0,0,0,0,0,false
,44072,124.6748,0,124.74,124.57,124.75,124.57,1673010900000,698,,0,,0,0,0,0,0,false
,61985,124.5005,0,124.57,124.59,124.61,124.4,1673011200000,1060,,0,,0,0,0,0,0,false
,27800,124.6659,0,124.6,124.6,124.8,124.55,1673011500000,487,,0,,0,0,0,0,0,false
,276449,125.6037,0,124.6,125.3,126.75,124.59,1673011800000,2952,,0,,0,0,0,0,0,false
,167938,125.3831,0,125.38,125.25,125.6099,125.13,1673012100000,2398,,0,,0,0,0,0,0,false
,111908,125.6046,0,125.27,125.73,125.84,125.21,1673012400000,1448,,0,,0,0,0,0,0,false
,197485,126.255,0,125.7,126.25,126.51,125.6801,1673012700000,2546,,0,,0,0,0,0,0,false
,174700,126.3801,0,126.25,126.43,126.6,126.23,1673013000000,1787,,0,,0,0,0,0,0,false
,87040,126.3319,0,126.43,126.4,126.5,126.18,1673013300000,1298,,0,,0,0,0,0,0,false
,88533,126.3847,0,126.39,126.38,126.52,126.25,1673013600000,1204,,0,,0,0,0,0,0,false
,129146,126.145,0,126.36,125.95,126.42,125.8,1673013900000,1796,,0,,0,0,0,0,0,false
,78818,125.8832,0,125.92,126.02,126.05,125.6935,1673014200000,1137,,0,,0,0,0,0,0,false
,86780,126.0774,0,126.01,125.94,126.3,125.9,1673014500000,1222,,0,,0,0,0,0,0,false
,106643,125.996,0,125.93,126.1,126.15,125.83,1673014800000,1356,,0,,0,0,0,0,0,false
,58723,126.0656,0,126.06,125.99,126.2,125.98,1673015100000,799,,0,,0,0,0,0,0,false
,2.987957E+06,126.2383,0,126.01,126.95,127.015,125.47,1673015400000,37161,,0,,0,0,0,0,0,false
,2.158327E+06,126.2801,0,126.9315,125.72,127.19,125.43,1673015700000,22232,,0,,0,0,0,0,0,false
,1.87335E+06,125.4196,0,125.7165,124.97,125.84,124.89,1673016000000,20403,,0,,0,0,0,0,0,false
,1.338407E+06,125.3033,0,124.96,125.4263,125.59,124.92,1673016300000,13324,,0,,0,0,0,0,0,false
,1.555073E+06,125.9412,0,125.43,126.2801,126.38,125.36,1673016600000,15703,,0,,0,0,0,0,0,false
,1.419035E+06,126.2638,0,126.28,125.8,126.69,125.8,1673016900000,12365,,0,,0,0,0,0,0,false
,2.163723E+06,126.564,0,125.8,126.06,127,125.8,1673017200000,20037,,0,,0,0,0,0,0,false
,1.512266E+06,126.7429,0,126.07,126.97,127.25,125.98,1673017500000,13536,,0,,0,0,0,0,0,false
,1.314596E+06,126.8952,0,126.985,126.785,127.1,126.64,1673017800000,12026,,0,,0,0,0,0,0,false
,1.341563E+06,127.0862,0,126.79,127.12,127.35,126.73,1673018100000,11451,,0,,0,0,0,0,0,false
,876859,126.8782,0,127.12,126.76,127.18,126.58,1673018400000,8566,,0,,0,0,0,0,0,false
,831005,126.4999,0,126.77,126.375,126.79,126.25,1673018700000,8526,,0,,0,0,0,0,0,false
,836543,126.6378,0,126.375,126.825,126.83,126.3401,1673019000000,7614,,0,,0,0,0,0,0,false
,1.006977E+06,127.1614,0,126.825,127.28,127.398,126.82,1673019300000,9233,,0,,0,0,0,0,0,false
,1.074392E+06,127.3307,0,127.278,127.05,127.5,127.02,1673019600000,9484,,0,,0,0,0,0,0,false
,729465,127.213,0,127.06,127.445,127.49,127.035,1673019900000,7458,,0,,0,0,0,0,0,false
,769386,127.4051,0,127.45,127.3893,127.5,127.28,1673020200000,7767,,0,,0,0,0,0,0,false
,931125,127.2736,0,127.385,127.41,127.51,127.075,1673020500000,8844,,0,,0,0,0,0,0,false
,925331,127.5063,0,127.445,127.65,127.66,127.31,1673020800000,8731,,0,,0,0,0,0,0,false
,1.524312E+06,127.7759,0,127.649,127.68,128.04,127.52,1673021100000,12693,,0,,0,0,0,0,0,false
,743591,127.5738,0,127.68,127.38,127.74,127.36,1673021400000,6906,,0,,0,0,0,0,0,false
,700816,127.3683,0,127.385,127.44,127.5,127.2011,1673021700000,6852,,0,,0,0,0,0,0,false
,573185,127.5476,0,127.44,127.63,127.646,127.4,1673022000000,5514,,0,,0,0,0,0,0,false
,766304,127.3123,0,127.625,127.245,127.625,127.16,1673022300000,7755,,0,,0,0,0,0,0,false
,792176,127.296,0,127.25,127.59,127.62,127.01,1673022600000,7471,,0,,0,0,0,0,0,false
,980441,127.4349,0,127.59,127.505,127.69,127.09,1673022900000,8329,,0,,0,0,0,0,0,false
,638940,127.3468,0,127.5099,127.35,127.58,127.21,1673023200000,5580,,0,,0,0,0,0,0,false
,622656,127.4753,0,127.36,127.56,127.6602,127.31,1673023500000,5629,,0,,0,0,0,0,0,false
,995409,127.8748,0,127.56,127.845,128,127.55,1673023800000,8057,,0,,0,0,0,0,0,false
,686563,127.912,0,127.845,127.88,128.02,127.82,1673024100000,6364,,0,,0,0,0,0,0,false
,761755,128.0271,0,127.8899,128.1576,128.17,127.88,1673024400000,7407,,0,,0,0,0,0,0,false
,859139,128.1955,0,128.16,128.175,128.35,128.02,1673024700000,7969,,0,,0,0,0,0,0,false
,581057,128.2242,0,128.1917,128.18,128.36,128.1259,1673025000000,5631,,0,,0,0,0,0,0,false
,632999,128.2878,0,128.185,128.36,128.45,128.11,1673025300000,6044,,0,,0,0,0,0,0,false
,580017,128.226,0,128.37,128.0799,128.39,128.01,1673025600000,5165,,0,,0,0,0,0,0,false
,774759,128.2989,0,128.07,128.3299,128.48,128.06,1673025900000,5935,,0,,0,0,0,0,0,false
,584241,128.2763,0,128.3217,128.16,128.39,128.14,1673026200000,5562,,0,,0,0,0,0,0,false
,886490,128.2025,0,128.16,128.3101,128.345,128.11,1673026500000,4636,,0,,0,0,0,0,0,false
,547973,128.1089,0,128.315,128.095,128.33,128.03,1673026800000,4450,,0,,0,0,0,0,0,false
,487208,128.133,0,128.0991,128.095,128.2,128.06,1673027100000,3819,,0,,0,0,0,0,0,false
,430339,128.0066,0,128.09,127.975,128.13,127.891,1673027400000,4702,,0,,0,0,0,0,0,false
,539415,127.9061,0,127.97,127.96,128,127.78,1673027700000,4997,,0,,0,0,0,0,0,false
,887552,127.9368,0,127.96,128.02,128.04,127.89,1673028000000,4729,,0,,0,0,0,0,0,false
,534700,128.1495,0,128.02,128.125,128.25,128.02,1673028300000,4912,,0,,0,0,0,0,0,false
,469136,128.2108,0,128.125,128.1893,128.3,128.08,1673028600000,4234,,0,,0,0,0,0,0,false
,383769,128.1705,0,128.185,128.125,128.25,128.06,1673028900000,4066,,0,,0,0,0,0,0,false
,424863,128.1924,0,128.1216,128.21,128.2799,128.11,1673029200000,3569,,0,,0,0,0,0,0,false
,465347,128.3022,0,128.215,128.25,128.4,128.18,1673029500000,4336,,0,,0,0,0,0,0,false
,471931,128.3804,0,128.24,128.48,128.48,128.24,1673029800000,4959,,0,,0,0,0,0,0,false
